CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ARTICOLO;DESCRIZIONE;IMBALLO;QUANTITA;UMGEST;PREZZOUNITLORDOEURO;SCONTIESTESI;IVA;PREZZOUNITNETTOEURO;DATACONSEGNA;TOTLORDORIGAEURO;TOTNETTORIGAEURO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;ANNOTAZIONI;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;IDTESTA;IDRIGA;EXPORTCRM;IDTESTARP;IDRIGARP
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/926;DDT Campionatura Cliente;926;2016-10-24 00:00:00.000;20410#104XXX;SULFETAL MG/D;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-21 00:00:00.000;.0000;.0000;2016;DCG;926;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109581;435534;2;1;432046;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/926;DDT Campionatura Cliente;926;2016-10-24 00:00:00.000;20500#000XXX;ZETESOL ZN;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-21 00:00:00.000;.0000;.0000;2016;DCG;926;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109581;435534;3;1;432046;2
C  2863;COVENTYA S.p.A.;;NULL;DCG/2016/927;DDT Campionatura Cliente;927;2016-10-24 00:00:00.000;20508#013XXX;ZETESOL LES 3/K;NULL;.500;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-10 00:00:00.000;.0000;.0000;2016;DCG;927;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RB 60 GG FM AL 10;NULL;NULL;COVENTYA S.P.A. VIA F.LLI ROSSELLI, 2 VILLORBA TV;109582;435535;2;1;433963;1
C   294;CISME ITALY SRL;;NULL;DCG/2016/928;DDT Campionatura Cliente;928;2016-10-24 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;2.000;KG;.000000;;NON IMP.ART.8 II COMMA;.000000;2016-09-29 00:00:00.000;.0000;.0000;2016;DCG;928;;2016-10-24 00:00:00.000;;EXW TRICERRO;RIC.BANC.90 GG DF FM;NULL;NULL;;109584;435537;2;1;432957;1
C   294;CISME ITALY SRL;;NULL;DCG/2016/928;DDT Campionatura Cliente;928;2016-10-24 00:00:00.000;20240#000XXX;PROTELAN AG 8 - DITEROL AG 8;NULL;2.000;KG;.000000;;NON IMP.ART.8 II COMMA;.000000;2016-09-29 00:00:00.000;.0000;.0000;2016;DCG;928;;2016-10-24 00:00:00.000;;EXW TRICERRO;RIC.BANC.90 GG DF FM;NULL;NULL;;109584;435537;3;1;432957;2
C  2552;BIOFARMA SPA non utilizzare;A    62;SILVIA MORARA;DCG/2016/929;DDT Campionatura Cliente;929;2016-10-24 00:00:00.000;32307;MULSIFAN CPA;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-10 00:00:00.000;.0000;.0000;2016;DCG;929;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.60 GG DF FM;NULL;NULL;;109585;435538;2;1;433964;1
C  2552;BIOFARMA SPA non utilizzare;A    62;SILVIA MORARA;DCG/2016/929;DDT Campionatura Cliente;929;2016-10-24 00:00:00.000;32669;ZETESOL TP 300;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-10 00:00:00.000;.0000;.0000;2016;DCG;929;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.60 GG DF FM;NULL;NULL;;109585;435538;3;1;433964;2
C  2884;DA COL Chimica Industriale;;NULL;DCG/2016/930;DDT Campionatura Cliente;930;2016-10-24 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-10 00:00:00.000;.0000;.0000;2016;DCG;930;;2016-10-24 00:00:00.000;;FRANCO DESTINO;NULL;NULL;NULL;;109586;435539;2;1;433924;1
C  2875;PROFOAM SRL;;NULL;DCG/2016/931;DDT Campionatura Cliente;931;2016-10-24 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;FLACONI;5.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-06 00:00:00.000;.0000;.0000;2016;DCG;931;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;;109587;435540;2;1;433739;1
C  1895;B.C. SRL;;NULL;DCG/2016/932;DDT Campionatura Cliente;932;2016-10-24 00:00:00.000;20208#000XXX;PROTELAN LS 9011/C;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-10 00:00:00.000;.0000;.0000;2016;DCG;932;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;109589;435541;2;1;433914;1
C  1792;SABO SPA;;NULL;DCG/2016/933;DDT Campionatura Cliente;933;2016-10-24 00:00:00.000;25517#000XXX;ZETESOL LES 2/SL - RSPO - MB;FLACONI;3.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-05 00:00:00.000;.0000;.0000;2016;DCG;933;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;109590;435542;2;1;433535;1
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;DCG/2016/934;DDT Campionatura Cliente;934;2016-10-24 00:00:00.000;20051#000XXX;AMPHOTENSID B4/CONC-I;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-07 00:00:00.000;.0000;.0000;2016;DCG;934;;2016-10-24 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;;109591;435543;2;1;433778;1
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;DCG/2016/934;DDT Campionatura Cliente;934;2016-10-24 00:00:00.000;20237#000XXX;PROTELAN AG 11;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-07 00:00:00.000;.0000;.0000;2016;DCG;934;;2016-10-24 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;;109591;435543;3;1;433778;2
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;DCG/2016/934;DDT Campionatura Cliente;934;2016-10-24 00:00:00.000;20360#243XXX;SULFETAL ZN;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-07 00:00:00.000;.0000;.0000;2016;DCG;934;;2016-10-24 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;;109591;435543;4;1;433778;3
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;DCG/2016/934;DDT Campionatura Cliente;934;2016-10-24 00:00:00.000;11310;PROTELAN PCA/I;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-07 00:00:00.000;.0000;.0000;2016;DCG;934;;2016-10-24 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;;109591;435543;5;1;433778;4
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;DCG/2016/934;DDT Campionatura Cliente;934;2016-10-24 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-07 00:00:00.000;.0000;.0000;2016;DCG;934;;2016-10-24 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;;109591;435543;6;1;433778;5
C  2195;MORARA SILVIA;;NULL;DCG/2016/935;DDT Campionatura Cliente;935;2016-10-24 00:00:00.000;32445;LUMOROL K 5019;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-06 00:00:00.000;.0000;.0000;2016;DCG;935;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;CATRIN SRL VIA F. RABITTI 14 BAGNOLO DI PIANO RE;109593;435545;2;1;433649;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/935;DDT Campionatura Cliente;935;2016-10-24 00:00:00.000;20275#000XXX;PROTELAN NMF;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-06 00:00:00.000;.0000;.0000;2016;DCG;935;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;CATRIN SRL VIA F. RABITTI 14 BAGNOLO DI PIANO RE;109593;435545;3;1;433649;2
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/936;DDT Campionatura Cliente;936;2016-10-24 00:00:00.000;20285#000XXX;PROTELAN GC;NULL;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-06 00:00:00.000;.0000;.0000;2016;DCG;936;;2016-10-24 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;;109594;435546;2;1;433633;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/937;DDT Campionatura Cliente;937;2016-10-24 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-07 00:00:00.000;.0000;.0000;2016;DCG;937;;2016-10-24 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;BIODUE SPA VIA LORENZETTI, 3/A LOC. SAMBUCA TAVARNELLE VAL DI PESA FI;109596;435548;2;1;433878;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/938;DDT Campionatura Cliente;938;2016-10-24 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-07 00:00:00.000;.0000;.0000;2016;DCG;938;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;DULCOP INTERNATIONAL VIA INDICE 2 SAN LAZZARO DI SAVENA BO;109597;435549;2;1;433777;1
C  2344;DE FAZIO SRL;;NULL;DCG/2016/939;DDT Campionatura Cliente;939;2016-10-24 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-05 00:00:00.000;.0000;.0000;2016;DCG;939;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR 90 GG DF FM AL 10;NULL;NULL;;109598;435550;2;1;433577;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/940;DDT Campionatura Cliente;940;2016-10-24 00:00:00.000;20229#000XXX;LUMOROL CMS;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-05 00:00:00.000;.0000;.0000;2016;DCG;940;;2016-10-24 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;PROGRESSUS SRL VIA BENIAMINO UBALDI GUBBIO PG;109599;435551;2;1;433517;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/941;DDT Campionatura Cliente;941;2016-10-24 00:00:00.000;20385#095XXX;SULFETAL LS A PH ALTO;NULL;5.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-04 00:00:00.000;.0000;.0000;2016;DCG;941;;2016-10-24 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;FGL INTERNATIONAL SPA VIA FRANCESCA NORD, 73 CASTELFRANCO DI SOTTO PI;109600;435552;2;1;433491;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/942;DDT Campionatura Cliente;942;2016-10-24 00:00:00.000;20385#114XXX;SULFETAL CS - E;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-04 00:00:00.000;.0000;.0000;2016;DCG;942;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;ONE MORE SRL STRADA ACQUASALATA SERRAVALLE DI REPUBBLICA DI SAN MARINO EE;109601;435553;2;1;433474;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/942;DDT Campionatura Cliente;942;2016-10-24 00:00:00.000;20053#000XXX;PROTELAN AGE;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-04 00:00:00.000;.0000;.0000;2016;DCG;942;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;ONE MORE SRL STRADA ACQUASALATA SERRAVALLE DI REPUBBLICA DI SAN MARINO EE;109601;435553;3;1;433474;2
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/943;DDT Campionatura Cliente;943;2016-10-24 00:00:00.000;20211#000XXX;LUMOROL 54/SPEZIAL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-03 00:00:00.000;.0000;.0000;2016;DCG;943;;2016-10-24 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;SILOMA INDUSTRIE SRL LOC. LA PIANA SNC FIVIZZANO MS;109602;435554;2;1;433149;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/943;DDT Campionatura Cliente;943;2016-10-24 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-03 00:00:00.000;.0000;.0000;2016;DCG;943;;2016-10-24 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;SILOMA INDUSTRIE SRL LOC. LA PIANA SNC FIVIZZANO MS;109602;435554;3;1;433149;2
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/943;DDT Campionatura Cliente;943;2016-10-24 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-03 00:00:00.000;.0000;.0000;2016;DCG;943;;2016-10-24 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;SILOMA INDUSTRIE SRL LOC. LA PIANA SNC FIVIZZANO MS;109602;435554;4;1;433149;3
C  2146;COSMETIC & SOLUTIONS di SERAFINI SABRINA;;NULL;DCG/2016/944;DDT Campionatura Cliente;944;2016-10-24 00:00:00.000;43078;ZETEMULS HE;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-03 00:00:00.000;.0000;.0000;2016;DCG;944;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;GENERAL SPRAY SERVICE SRL VIA PIAN DI MELETO, 13 ROMA RM;109603;435555;2;1;433165;1
C  1910;ALLEGRO NATURA DI ALLEGRO VALERIO;;NULL;DCG/2016/945;DDT Campionatura Cliente;945;2016-10-24 00:00:00.000;43158;PROTELAN AGL 95 POLVERE;FLACONI;.100;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-03 00:00:00.000;.0000;.0000;2016;DCG;945;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;109604;435556;2;NULL;433145;1
C  1910;ALLEGRO NATURA DI ALLEGRO VALERIO;;NULL;DCG/2016/945;DDT Campionatura Cliente;945;2016-10-24 00:00:00.000;20355#112XXX;SULFETAL LA B -E;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-03 00:00:00.000;.0000;.0000;2016;DCG;945;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;109604;435556;3;1;433145;2
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/947;DDT Campionatura Cliente;947;2016-10-24 00:00:00.000;11530;ZUSOLAT 1005;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-29 00:00:00.000;.0000;.0000;2016;DCG;947;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109606;435558;2;1;432913;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/947;DDT Campionatura Cliente;947;2016-10-24 00:00:00.000;43070;T-QUAT CTA CONC;FLACONI;1.000;KG;1.680000;;ALIQUOTA 22%;1.680000;2016-09-29 00:00:00.000;1.6800;1.6800;2016;DCG;947;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109606;435558;3;1;432913;5
C  1656;DOTT.SSA D'ADDARIO CARMELA;;NULL;DCG/2016/948;DDT Campionatura Cliente;948;2016-10-24 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-29 00:00:00.000;.0000;.0000;2016;DCG;948;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;;109607;435560;2;1;432928;1
C  1656;DOTT.SSA D'ADDARIO CARMELA;;NULL;DCG/2016/948;DDT Campionatura Cliente;948;2016-10-24 00:00:00.000;20208#000XXX;PROTELAN LS 9011/C;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-29 00:00:00.000;.0000;.0000;2016;DCG;948;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;;109607;435560;3;1;432928;2
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/949;DDT Campionatura Cliente;949;2016-10-24 00:00:00.000;32261;LUMOROL K 5229;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-29 00:00:00.000;.0000;.0000;2016;DCG;949;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109608;435561;2;1;432912;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/950;DDT Campionatura Cliente;950;2016-10-24 00:00:00.000;20214#000XXX;LUMOROL 52/P;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-30 00:00:00.000;.0000;.0000;2016;DCG;950;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;COIND SC VIA SALICETO 22/H CASTELMAGGIORE BO;109609;435562;2;1;433012;1
C   627;PROCHEM SAS DI L.CHIOSI;;NULL;DCG/2016/951;DDT Campionatura Cliente;951;2016-10-24 00:00:00.000;20247#000XXX;PROTELAN AGL/95;NULL;1.000;KG;.000000;1,5;ALIQUOTA 22%;.000000;2016-09-26 00:00:00.000;.0000;.0000;2016;DCG;951;;2016-10-24 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;ERBAGIL SRL CONTRADA S. LUCIA GUARDIA SANFRAMONDI BN;109610;435563;2;1;432415;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/952;DDT Campionatura Cliente;952;2016-10-24 00:00:00.000;20549#000XXX;ZETESOL 270/820;FLACONI;5.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-28 00:00:00.000;.0000;.0000;2016;DCG;952;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;PACKAGING IMOLESE SPA VIA TURATI 22 IMOLA BO;109611;435564;2;1;432645;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/953;DDT Campionatura Cliente;953;2016-10-24 00:00:00.000;20236#243XXX;PROTELAN MGL - E;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-27 00:00:00.000;.0000;.0000;2016;DCG;953;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109612;435565;2;1;432569;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/954;DDT Campionatura Cliente;954;2016-10-24 00:00:00.000;20385#095XXX;SULFETAL LS A PH ALTO;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-27 00:00:00.000;.0000;.0000;2016;DCG;954;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109613;435566;2;1;432592;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/955;DDT Campionatura Cliente;955;2016-10-24 00:00:00.000;20229#000XXX;LUMOROL CMS;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-27 00:00:00.000;.0000;.0000;2016;DCG;955;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109614;435567;2;1;432594;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/955;DDT Campionatura Cliente;955;2016-10-24 00:00:00.000;43207;T-QUAT 7;FLACONI;2.000;KG;1.060000;;ALIQUOTA 22%;1.060000;2016-09-27 00:00:00.000;2.1200;2.1200;2016;DCG;955;;2016-10-24 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;109614;435567;3;1;432594;2
C  2195;MORARA SILVIA;;NULL;DCG/2016/956;DDT Campionatura Cliente;956;2016-10-24 00:00:00.000;20182#000XXX;PEARLAGENT 2000/I;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-27 00:00:00.000;.0000;.0000;2016;DCG;956;;2016-10-24 00:00:00.000;;NULL;NULL;NULL;NULL;PIERPAOLI SRL VIA E. MATTEI 0 SENIGALLIA AN;109615;435568;2;1;432601;1
C   107;BOLTON  MANITOBA SPA;;NULL;DCG/2016/957;DDT Campionatura Cliente;957;2016-10-27 00:00:00.000;43220;SULFETAL C 90-POLVERE;NULL;5.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-24 00:00:00.000;.0000;.0000;2016;DCG;957;;2016-10-27 00:00:00.000;;FRANCO DESTINO;RIM.DIR.120 GG DF FM;NULL;NULL;DEOFLOR SPA VIA VESPOLATE, 48 CONFIENZA PV;110260;435981;2;1;435495;1
C  2025;CHIMICA OSSOLANA SRL;;NULL;DCG/2016/958;DDT Campionatura Cliente;958;2016-10-27 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-24 00:00:00.000;.0000;.0000;2016;DCG;958;;2016-10-27 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;110261;435986;2;1;435494;1
C  2025;CHIMICA OSSOLANA SRL;;NULL;DCG/2016/958;DDT Campionatura Cliente;958;2016-10-27 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-24 00:00:00.000;.0000;.0000;2016;DCG;958;;2016-10-27 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;110261;435986;3;1;435494;2
C  2195;MORARA SILVIA;;NULL;DCG/2016/959;DDT Campionatura Cliente;959;2016-10-27 00:00:00.000;43053;AMPHOTENSID GB 2009 CONC.;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-26 00:00:00.000;.0000;.0000;2016;DCG;959;;2016-10-27 00:00:00.000;;NULL;NULL;NULL;NULL;UNION COSMETICS SRL VIA FOCE CESANO 4/9 SENIGALLIA AN;110262;435990;2;1;435759;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/960;DDT Campionatura Cliente;960;2016-10-27 00:00:00.000;20355#112XXX;SULFETAL LA B -E;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-25 00:00:00.000;.0000;.0000;2016;DCG;960;;2016-10-27 00:00:00.000;;NULL;NULL;NULL;NULL;Bio Thai Natural Products    Via A. Grandi, 9      Rimini RN;110263;435997;2;1;435645;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/960;DDT Campionatura Cliente;960;2016-10-27 00:00:00.000;20069#000XXX;AMPHOTENSID AB;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-25 00:00:00.000;.0000;.0000;2016;DCG;960;;2016-10-27 00:00:00.000;;NULL;NULL;NULL;NULL;Bio Thai Natural Products    Via A. Grandi, 9      Rimini RN;110263;435997;3;1;435645;2
C  2195;MORARA SILVIA;;NULL;DCG/2016/960;DDT Campionatura Cliente;960;2016-10-27 00:00:00.000;20493#000XXX;ZETEMOL AL;FLACONI;.300;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-25 00:00:00.000;.0000;.0000;2016;DCG;960;;2016-10-27 00:00:00.000;;NULL;NULL;NULL;NULL;Bio Thai Natural Products    Via A. Grandi, 9      Rimini RN;110263;435997;4;1;435645;3
C  2195;MORARA SILVIA;;NULL;DCG/2016/960;DDT Campionatura Cliente;960;2016-10-27 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-25 00:00:00.000;.0000;.0000;2016;DCG;960;;2016-10-27 00:00:00.000;;NULL;NULL;NULL;NULL;Bio Thai Natural Products    Via A. Grandi, 9      Rimini RN;110263;435997;5;1;435645;4
C  2195;MORARA SILVIA;;NULL;DCG/2016/960;DDT Campionatura Cliente;960;2016-10-27 00:00:00.000;20222#000XXX;PROTELAN MST-35;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-25 00:00:00.000;.0000;.0000;2016;DCG;960;;2016-10-27 00:00:00.000;;NULL;NULL;NULL;NULL;Bio Thai Natural Products    Via A. Grandi, 9      Rimini RN;110263;435997;6;1;435645;5
C  2195;MORARA SILVIA;;NULL;DCG/2016/960;DDT Campionatura Cliente;960;2016-10-27 00:00:00.000;20229#000XXX;LUMOROL CMS;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-25 00:00:00.000;.0000;.0000;2016;DCG;960;;2016-10-27 00:00:00.000;;NULL;NULL;NULL;NULL;Bio Thai Natural Products    Via A. Grandi, 9      Rimini RN;110263;435997;7;1;435645;6
C  2504;INTERCOS EUROPE SPA;;NULL;DCG/2016/961;DDT Campionatura Cliente;961;2016-10-27 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-26 00:00:00.000;.0000;.0000;2016;DCG;961;;2016-10-27 00:00:00.000;;FRANCO DESTINO;RIM.DIR.60 GG DF FM;NULL;NULL;INTERCOS EUROPE SPA  - MAG. 06 VIA MARCONI 84 AGRATE BRIANZA MB;110264;436001;2;1;435776;1
C  2504;INTERCOS EUROPE SPA;;NULL;DCG/2016/961;DDT Campionatura Cliente;961;2016-10-27 00:00:00.000;43053;AMPHOTENSID GB 2009 CONC.;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-10-26 00:00:00.000;.0000;.0000;2016;DCG;961;;2016-10-27 00:00:00.000;;FRANCO DESTINO;RIM.DIR.60 GG DF FM;NULL;NULL;INTERCOS EUROPE SPA  - MAG. 06 VIA MARCONI 84 AGRATE BRIANZA MB;110264;436001;3;1;435776;2
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/962;DDT Campionatura Cliente;962;2016-10-27 00:00:00.000;20230#000XXX;LUMOROL BMS;FLACONI;3.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-23 00:00:00.000;.0000;.0000;2016;DCG;962;;2016-10-27 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;110265;436005;2;1;432302;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/962;DDT Campionatura Cliente;962;2016-10-27 00:00:00.000;20229#000XXX;LUMOROL CMS;FLACONI;3.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-09-23 00:00:00.000;.0000;.0000;2016;DCG;962;;2016-10-27 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;110265;436005;3;1;432302;2
